,country,year,no_schooling,total_primary,completed_primary,total_secondary,completed_secondary,total_tertiary,completed_tertiary,avg_years_total_schooling,avg_years_primary_schooling,avg_years_secondary_schooling,avg_years_tertiary_schooling,population_1000s,region,iso_alpha
842,Fiji,1955,25.2,66.5,15.0,6.3,2.1,2.1,1.2,4.24,3.93,0.25,0.06,166.0,Asia and the Pacific,FJI
843,Fiji,1960,21.5,68.4,16.3,7.9,2.6,2.3,1.3,4.57,4.2,0.3,0.07,195.0,Asia and the Pacific,FJI
844,Fiji,1965,16.6,69.3,21.4,11.6,3.6,2.6,1.5,5.24,4.76,0.41,0.08,236.0,Asia and the Pacific,FJI
845,Fiji,1970,15.9,63.9,21.5,17.4,5.0,2.7,1.5,5.67,5.03,0.56,0.09,280.0,Asia and the Pacific,FJI
846,Fiji,1975,12.2,60.2,22.2,24.8,9.1,2.9,1.6,6.4,5.51,0.79,0.09,332.0,Asia and the Pacific,FJI
847,Fiji,1980,9.1,54.8,22.9,32.5,13.3,3.6,1.9,7.16,6.0,1.06,0.11,367.0,Asia and the Pacific,FJI
848,Fiji,1985,6.2,50.2,22.2,39.5,19.2,4.1,2.3,7.85,6.38,1.34,0.13,415.0,Asia and the Pacific,FJI
849,Fiji,1990,5.4,29.9,15.4,58.0,30.8,6.7,3.7,9.24,6.99,2.04,0.21,428.0,Asia and the Pacific,FJI
850,Fiji,1995,4.6,11.7,6.2,74.8,42.0,8.8,5.1,10.28,7.06,2.94,0.28,471.0,Asia and the Pacific,FJI
851,Fiji,2000,3.3,22.1,12.9,64.0,37.3,10.5,6.1,9.97,6.75,2.89,0.33,512.0,Asia and the Pacific,FJI
852,Fiji,2005,2.1,29.5,18.6,56.6,31.9,11.8,6.9,9.76,6.55,2.83,0.37,547.0,Asia and the Pacific,FJI
853,Fiji,2010,1.8,23.8,14.9,61.7,40.1,12.7,7.6,10.35,6.46,3.48,0.41,578.0,Asia and the Pacific,FJI
858,Hong Kong,1870,95.6,4.3,0.2,0.1,0.0,0.0,0.0,0.15,0.14,0.01,0.0,76.0,Asia and the Pacific,HKG
859,Hong Kong,1875,94.6,5.3,0.2,0.1,0.0,0.0,0.0,0.18,0.17,0.01,0.0,91.0,Asia and the Pacific,HKG
860,Hong Kong,1880,93.4,6.4,0.3,0.2,0.1,0.0,0.0,0.23,0.21,0.01,0.0,106.0,Asia and the Pacific,HKG
861,Hong Kong,1885,91.9,7.8,0.4,0.2,0.1,0.0,0.0,0.28,0.26,0.01,0.0,120.0,Asia and the Pacific,HKG
862,Hong Kong,1890,90.2,9.5,0.6,0.3,0.1,0.0,0.0,0.34,0.32,0.02,0.0,136.0,Asia and the Pacific,HKG
863,Hong Kong,1895,88.2,11.4,0.9,0.4,0.1,0.0,0.0,0.42,0.39,0.02,0.0,165.0,Asia and the Pacific,HKG
864,Hong Kong,1900,85.9,13.6,1.2,0.5,0.2,0.0,0.0,0.5,0.47,0.03,0.0,196.0,Asia and the Pacific,HKG
865,Hong Kong,1905,84.7,14.7,1.4,0.6,0.3,0.1,0.0,0.56,0.52,0.04,0.0,254.0,Asia and the Pacific,HKG
866,Hong Kong,1910,81.3,17.0,2.0,1.3,0.6,0.4,0.3,0.79,0.67,0.11,0.01,313.0,Asia and the Pacific,HKG
867,Hong Kong,1915,78.0,19.2,2.5,2.1,1.0,0.8,0.5,1.03,0.82,0.18,0.03,343.0,Asia and the Pacific,HKG
868,Hong Kong,1920,75.3,20.8,3.0,2.8,1.4,1.1,0.8,1.23,0.95,0.24,0.04,423.0,Asia and the Pacific,HKG
869,Hong Kong,1925,68.8,19.5,3.2,9.9,5.0,1.8,1.2,2.17,1.38,0.72,0.06,475.0,Asia and the Pacific,HKG
870,Hong Kong,1930,63.0,23.3,4.7,11.5,6.0,2.2,1.6,2.58,1.66,0.85,0.08,541.0,Asia and the Pacific,HKG
871,Hong Kong,1935,55.9,28.7,7.1,12.9,6.6,2.5,1.9,3.04,2.0,0.95,0.09,639.0,Asia and the Pacific,HKG
872,Hong Kong,1940,45.6,36.5,10.8,14.8,7.8,3.0,2.3,3.7,2.49,1.11,0.11,1188.0,Asia and the Pacific,HKG
873,Hong Kong,1945,39.5,40.5,13.2,16.6,8.5,3.3,2.6,4.16,2.81,1.23,0.12,1036.0,Asia and the Pacific,HKG
874,Hong Kong,1950,37.6,40.4,14.6,18.3,9.1,3.7,3.1,4.46,2.97,1.35,0.13,1326.0,Asia and the Pacific,HKG
875,Hong Kong,1955,33.5,43.5,17.2,18.8,9.5,4.2,2.5,4.76,3.2,1.43,0.13,1548.0,Asia and the Pacific,HKG
876,Hong Kong,1960,30.0,45.7,19.0,19.7,10.1,4.6,2.8,5.05,3.4,1.51,0.15,1732.0,Asia and the Pacific,HKG
877,Hong Kong,1965,23.0,46.3,22.2,25.9,13.0,4.7,2.7,5.93,3.89,1.89,0.15,2078.0,Asia and the Pacific,HKG
878,Hong Kong,1970,20.9,42.5,25.3,34.0,19.2,2.7,1.5,6.58,4.23,2.27,0.08,2327.0,Asia and the Pacific,HKG
879,Hong Kong,1975,16.6,41.0,25.6,39.0,22.0,3.3,1.8,7.26,4.54,2.62,0.1,2824.0,Asia and the Pacific,HKG
880,Hong Kong,1980,12.3,34.7,22.3,46.0,26.6,7.0,3.5,8.42,4.89,3.32,0.21,3426.0,Asia and the Pacific,HKG
881,Hong Kong,1985,9.8,28.7,19.3,53.9,32.1,7.6,4.4,9.24,5.13,3.87,0.24,3772.0,Asia and the Pacific,HKG
882,Hong Kong,1990,7.8,24.0,16.8,56.0,35.1,12.3,7.8,10.08,5.32,4.36,0.4,3994.0,Asia and the Pacific,HKG
883,Hong Kong,1995,9.9,20.6,15.8,55.4,34.9,14.2,10.1,10.21,5.26,4.46,0.49,4406.0,Asia and the Pacific,HKG
884,Hong Kong,2000,10.6,18.5,15.1,55.9,36.1,15.0,11.9,10.37,5.26,4.57,0.54,4810.0,Asia and the Pacific,HKG
885,Hong Kong,2005,2.3,14.4,11.5,57.1,36.7,26.2,22.3,12.17,5.78,5.42,0.97,5180.0,Asia and the Pacific,HKG
886,Hong Kong,2010,1.4,13.4,11.3,65.0,48.1,20.1,17.1,12.2,5.85,5.6,0.75,5510.0,Asia and the Pacific,HKG
891,India,1870,99.6,0.1,0.0,0.3,0.1,0.0,0.0,0.03,0.02,0.01,0.0,145914.0,Asia and the Pacific,IND
892,India,1875,99.5,0.2,0.0,0.3,0.1,0.0,0.0,0.04,0.02,0.01,0.0,146820.0,Asia and the Pacific,IND
893,India,1880,99.3,0.3,0.1,0.4,0.1,0.0,0.0,0.05,0.03,0.02,0.0,128627.0,Asia and the Pacific,IND
894,India,1885,98.9,0.6,0.1,0.5,0.1,0.0,0.0,0.07,0.05,0.02,0.0,152859.0,Asia and the Pacific,IND
895,India,1890,98.2,1.2,0.3,0.6,0.2,0.0,0.0,0.1,0.07,0.03,0.0,153150.0,Asia and the Pacific,IND
896,India,1895,97.4,1.8,0.4,0.8,0.2,0.0,0.0,0.13,0.1,0.03,0.0,161256.0,Asia and the Pacific,IND
897,India,1900,96.6,2.4,0.6,0.9,0.3,0.0,0.0,0.16,0.12,0.04,0.0,162429.0,Asia and the Pacific,IND
898,India,1905,94.3,4.7,1.1,1.0,0.3,0.1,0.0,0.24,0.2,0.04,0.0,170872.0,Asia and the Pacific,IND
899,India,1910,92.0,6.8,1.5,1.1,0.4,0.1,0.0,0.32,0.27,0.05,0.0,177858.0,Asia and the Pacific,IND
900,India,1915,89.8,8.8,1.9,1.3,0.4,0.2,0.1,0.41,0.34,0.06,0.0,177347.0,Asia and the Pacific,IND
901,India,1920,85.9,13.0,2.9,1.0,0.4,0.2,0.1,0.52,0.46,0.05,0.01,176282.0,Asia and the Pacific,IND
902,India,1925,83.6,14.8,3.5,1.3,0.5,0.3,0.2,0.61,0.54,0.07,0.01,184429.0,Asia and the Pacific,IND
903,India,1930,81.1,17.0,4.3,1.5,0.6,0.4,0.2,0.72,0.63,0.08,0.01,193713.0,Asia and the Pacific,IND
904,India,1935,79.2,18.6,4.8,1.8,0.7,0.4,0.3,0.81,0.69,0.1,0.01,208860.0,Asia and the Pacific,IND
905,India,1940,77.5,20.1,5.4,1.9,0.7,0.5,0.3,0.88,0.76,0.11,0.02,225905.0,Asia and the Pacific,IND
906,India,1945,75.7,21.8,6.2,2.0,0.7,0.5,0.3,0.96,0.83,0.11,0.02,241673.0,Asia and the Pacific,IND
907,India,1950,74.4,22.8,6.9,2.2,0.3,0.6,0.4,1.02,0.88,0.11,0.02,206434.0,Asia and the Pacific,IND
908,India,1955,73.0,24.1,7.6,2.3,0.3,0.6,0.4,1.08,0.94,0.12,0.02,227645.0,Asia and the Pacific,IND
909,India,1960,71.4,25.4,8.9,2.6,0.2,0.6,0.3,1.16,1.02,0.12,0.02,251241.0,Asia and the Pacific,IND
910,India,1965,70.3,24.8,9.8,4.0,0.3,0.9,0.5,1.33,1.11,0.19,0.03,277538.0,Asia and the Pacific,IND
911,India,1970,65.6,27.4,13.3,5.8,0.3,1.1,0.6,1.65,1.36,0.25,0.04,310274.0,Asia and the Pacific,IND
912,India,1975,64.9,20.8,11.8,12.4,0.4,1.9,1.0,2.09,1.53,0.5,0.06,349890.0,Asia and the Pacific,IND
913,India,1980,64.9,13.0,8.3,19.6,0.5,2.5,1.3,2.46,1.64,0.75,0.08,395409.0,Asia and the Pacific,IND
914,India,1985,56.9,17.0,11.9,22.7,0.5,3.3,1.9,3.03,2.03,0.9,0.11,445980.0,Asia and the Pacific,IND
915,India,1990,50.1,19.2,14.3,26.6,0.6,4.1,2.4,3.56,2.37,1.06,0.13,501996.0,Asia and the Pacific,IND
916,India,1995,45.8,18.6,15.2,29.3,7.0,6.3,3.6,4.3,2.63,1.48,0.2,558027.0,Asia and the Pacific,IND
917,India,2000,41.7,16.6,14.3,34.3,20.8,7.4,4.6,5.3,2.86,2.2,0.24,622630.0,Asia and the Pacific,IND
918,India,2005,35.0,17.9,16.2,39.0,22.2,8.1,4.9,5.94,3.21,2.47,0.26,691452.0,Asia and the Pacific,IND
919,India,2010,30.1,17.2,16.0,43.9,25.6,8.8,5.3,6.59,3.47,2.84,0.28,762026.0,Asia and the Pacific,IND
924,Indonesia,1870,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,19020.0,Asia and the Pacific,IDN
925,Indonesia,1875,99.8,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,19964.0,Asia and the Pacific,IDN
926,Indonesia,1880,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,20975.0,Asia and the Pacific,IDN
927,Indonesia,1885,99.7,0.3,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,22241.0,Asia and the Pacific,IDN
928,Indonesia,1890,99.6,0.4,0.1,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,23421.0,Asia and the Pacific,IDN
929,Indonesia,1895,99.3,0.7,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,24647.0,Asia and the Pacific,IDN
930,Indonesia,1900,99.1,0.9,0.1,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,25992.0,Asia and the Pacific,IDN
931,Indonesia,1905,97.8,2.1,0.4,0.1,0.0,0.0,0.0,0.09,0.08,0.0,0.0,27373.0,Asia and the Pacific,IDN
932,Indonesia,1910,96.7,3.2,0.6,0.1,0.0,0.0,0.0,0.13,0.12,0.01,0.0,28759.0,Asia and the Pacific,IDN
933,Indonesia,1915,95.7,4.1,0.9,0.2,0.0,0.0,0.0,0.17,0.16,0.01,0.0,30268.0,Asia and the Pacific,IDN
934,Indonesia,1920,90.7,8.1,2.3,1.2,0.3,0.0,0.0,0.43,0.39,0.05,0.0,31525.0,Asia and the Pacific,IDN
935,Indonesia,1925,88.7,10.0,3.1,1.3,0.3,0.0,0.0,0.52,0.47,0.05,0.0,33282.0,Asia and the Pacific,IDN
936,Indonesia,1930,87.0,11.5,3.7,1.4,0.3,0.0,0.0,0.6,0.54,0.05,0.0,35336.0,Asia and the Pacific,IDN
937,Indonesia,1935,84.4,14.0,4.5,1.6,0.3,0.0,0.0,0.71,0.65,0.06,0.0,38563.0,Asia and the Pacific,IDN
938,Indonesia,1940,82.0,16.4,5.4,1.6,0.3,0.0,0.0,0.82,0.75,0.06,0.0,42410.0,Asia and the Pacific,IDN
939,Indonesia,1945,78.9,19.2,6.5,1.9,0.3,0.1,0.0,0.96,0.89,0.07,0.0,44158.0,Asia and the Pacific,IDN
940,Indonesia,1950,75.0,22.7,7.8,2.3,0.4,0.1,0.0,1.14,1.06,0.08,0.0,45233.0,Asia and the Pacific,IDN
941,Indonesia,1955,71.3,26.0,9.0,2.6,0.5,0.1,0.0,1.31,1.21,0.1,0.0,49699.0,Asia and the Pacific,IDN
942,Indonesia,1960,65.9,30.3,12.9,3.7,0.8,0.1,0.1,1.67,1.52,0.14,0.0,54354.0,Asia and the Pacific,IDN
943,Indonesia,1965,55.2,39.0,17.8,5.4,1.2,0.3,0.1,2.28,2.05,0.22,0.01,59125.0,Asia and the Pacific,IDN
944,Indonesia,1970,43.2,48.2,22.4,8.1,2.1,0.4,0.2,2.98,2.63,0.33,0.01,65698.0,Asia and the Pacific,IDN
945,Indonesia,1975,36.4,52.7,22.2,10.3,3.5,0.6,0.3,3.37,2.9,0.45,0.02,74399.0,Asia and the Pacific,IDN
946,Indonesia,1980,29.1,57.2,23.2,13.1,5.6,0.6,0.3,3.85,3.24,0.6,0.02,84186.0,Asia and the Pacific,IDN
947,Indonesia,1985,37.2,42.7,20.9,18.5,7.8,1.6,0.8,4.05,3.11,0.88,0.05,96502.0,Asia and the Pacific,IDN
948,Indonesia,1990,40.8,31.6,18.7,25.7,11.1,1.9,1.2,4.44,3.16,1.22,0.06,109504.0,Asia and the Pacific,IDN
949,Indonesia,1995,29.7,45.8,28.9,22.4,10.2,2.2,1.3,4.89,3.71,1.11,0.07,122799.0,Asia and the Pacific,IDN
950,Indonesia,2000,19.3,58.1,39.5,20.5,10.4,2.2,1.4,5.41,4.29,1.05,0.07,135844.0,Asia and the Pacific,IDN
951,Indonesia,2005,12.0,51.2,35.4,31.8,15.8,4.9,2.9,6.68,4.8,1.73,0.16,147458.0,Asia and the Pacific,IDN
952,Indonesia,2010,4.8,43.2,29.9,45.2,23.9,6.8,4.3,8.02,5.31,2.48,0.22,158449.0,Asia and the Pacific,IDN
957,Malaysia,1870,98.3,1.7,0.1,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,494.0,Asia and the Pacific,MYS
958,Malaysia,1875,97.9,2.1,0.2,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,619.0,Asia and the Pacific,MYS
959,Malaysia,1880,97.3,2.6,0.2,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,744.0,Asia and the Pacific,MYS
960,Malaysia,1885,96.7,3.3,0.3,0.1,0.0,0.0,0.0,0.12,0.11,0.0,0.0,871.0,Asia and the Pacific,MYS
961,Malaysia,1890,95.9,4.1,0.4,0.1,0.0,0.0,0.0,0.15,0.14,0.0,0.0,998.0,Asia and the Pacific,MYS
962,Malaysia,1895,94.8,5.1,0.6,0.1,0.0,0.0,0.0,0.18,0.18,0.01,0.0,1208.0,Asia and the Pacific,MYS
963,Malaysia,1900,93.6,6.3,0.8,0.1,0.0,0.0,0.0,0.23,0.22,0.01,0.0,1419.0,Asia and the Pacific,MYS
964,Malaysia,1905,90.9,8.5,1.2,0.5,0.2,0.1,0.0,0.35,0.32,0.03,0.0,1617.0,Asia and the Pacific,MYS
965,Malaysia,1910,88.3,10.7,1.2,0.9,0.3,0.2,0.0,0.47,0.42,0.05,0.0,1856.0,Asia and the Pacific,MYS
966,Malaysia,1915,85.9,12.6,1.6,1.3,0.4,0.2,0.1,0.6,0.52,0.07,0.01,2067.0,Asia and the Pacific,MYS
967,Malaysia,1920,83.4,13.9,2.0,2.3,0.7,0.5,0.1,0.79,0.64,0.13,0.01,2296.0,Asia and the Pacific,MYS
968,Malaysia,1925,77.7,18.3,3.0,3.3,1.1,0.7,0.2,1.09,0.88,0.19,0.02,2569.0,Asia and the Pacific,MYS
969,Malaysia,1930,72.6,22.3,4.1,4.2,1.4,0.9,0.3,1.37,1.1,0.25,0.02,2879.0,Asia and the Pacific,MYS
970,Malaysia,1935,68.6,25.6,5.4,4.8,1.6,1.1,0.3,1.59,1.28,0.28,0.03,3065.0,Asia and the Pacific,MYS
971,Malaysia,1940,65.0,28.5,6.9,5.3,1.8,1.2,0.4,1.8,1.45,0.31,0.03,3261.0,Asia and the Pacific,MYS
972,Malaysia,1945,61.7,31.3,8.3,5.7,1.9,1.3,0.4,1.98,1.61,0.34,0.03,2796.0,Asia and the Pacific,MYS
973,Malaysia,1950,58.0,34.3,10.6,6.2,2.1,1.4,0.4,2.21,1.81,0.37,0.04,3304.0,Asia and the Pacific,MYS
974,Malaysia,1955,53.7,36.9,11.7,7.8,2.6,1.5,0.5,2.5,2.02,0.44,0.04,3722.0,Asia and the Pacific,MYS
975,Malaysia,1960,48.0,39.9,15.5,10.5,3.3,1.5,0.5,2.99,2.39,0.56,0.04,4176.0,Asia and the Pacific,MYS
976,Malaysia,1965,41.6,42.5,17.7,14.3,4.7,1.7,0.5,3.54,2.76,0.73,0.04,4809.0,Asia and the Pacific,MYS
977,Malaysia,1970,33.5,44.5,22.7,20.2,7.3,1.8,0.6,4.41,3.33,1.02,0.05,5643.0,Asia and the Pacific,MYS
978,Malaysia,1975,29.2,42.8,23.3,26.0,10.7,2.0,0.6,5.06,3.66,1.35,0.05,6641.0,Asia and the Pacific,MYS
979,Malaysia,1980,23.8,38.9,21.6,33.5,16.3,3.7,0.9,6.06,4.05,1.92,0.09,7849.0,Asia and the Pacific,MYS
980,Malaysia,1985,19.1,34.7,20.7,40.0,20.0,6.2,1.8,7.03,4.43,2.43,0.16,9029.0,Asia and the Pacific,MYS
981,Malaysia,1990,15.1,29.0,18.1,46.6,23.8,9.3,2.8,8.01,4.77,3.0,0.24,10671.0,Asia and the Pacific,MYS
982,Malaysia,1995,11.6,26.4,16.8,52.8,29.3,9.2,2.8,8.66,5.02,3.4,0.24,12290.0,Asia and the Pacific,MYS
983,Malaysia,2000,8.9,21.7,14.1,58.8,36.8,10.6,3.1,9.49,5.24,3.98,0.27,14303.0,Asia and the Pacific,MYS
984,Malaysia,2005,6.9,18.8,12.4,59.5,39.0,14.8,4.4,10.16,5.39,4.38,0.38,15971.0,Asia and the Pacific,MYS
985,Malaysia,2010,4.4,16.8,11.1,59.4,42.1,19.4,5.8,10.89,5.56,4.82,0.5,17993.0,Asia and the Pacific,MYS
990,Myanmar,1870,96.4,2.8,0.8,0.7,0.1,0.0,0.0,0.14,0.1,0.03,0.0,2510.0,Asia and the Pacific,MMR
991,Myanmar,1875,95.7,3.4,0.9,0.8,0.1,0.0,0.0,0.16,0.12,0.04,0.0,2991.0,Asia and the Pacific,MMR
992,Myanmar,1880,94.9,4.2,1.1,1.0,0.1,0.0,0.0,0.19,0.15,0.04,0.0,3472.0,Asia and the Pacific,MMR
993,Myanmar,1885,93.1,5.8,1.6,1.1,0.1,0.0,0.0,0.24,0.19,0.05,0.0,3954.0,Asia and the Pacific,MMR
994,Myanmar,1890,90.6,8.0,2.3,1.3,0.2,0.0,0.0,0.32,0.26,0.06,0.0,4436.0,Asia and the Pacific,MMR
995,Myanmar,1895,88.8,9.7,2.8,1.5,0.2,0.0,0.0,0.38,0.31,0.07,0.0,5234.0,Asia and the Pacific,MMR
996,Myanmar,1900,88.0,9.8,2.8,2.1,0.3,0.1,0.0,0.44,0.34,0.1,0.0,6032.0,Asia and the Pacific,MMR
997,Myanmar,1905,86.9,10.2,3.0,2.8,0.4,0.1,0.1,0.51,0.38,0.13,0.0,6591.0,Asia and the Pacific,MMR
998,Myanmar,1910,85.9,10.6,3.2,3.4,0.5,0.1,0.1,0.58,0.42,0.16,0.0,7087.0,Asia and the Pacific,MMR
999,Myanmar,1915,80.6,13.2,4.1,6.1,1.0,0.1,0.1,0.87,0.6,0.27,0.0,7446.0,Asia and the Pacific,MMR
1000,Myanmar,1920,79.7,13.4,4.2,6.8,1.2,0.2,0.1,0.94,0.63,0.31,0.0,7779.0,Asia and the Pacific,MMR
1001,Myanmar,1925,78.8,13.6,4.4,7.4,1.5,0.2,0.1,1.0,0.66,0.34,0.01,8187.0,Asia and the Pacific,MMR
1002,Myanmar,1930,77.6,13.8,4.6,8.4,1.8,0.2,0.1,1.11,0.71,0.39,0.01,8630.0,Asia and the Pacific,MMR
1003,Myanmar,1935,77.6,12.7,4.3,9.5,2.2,0.3,0.2,1.17,0.73,0.44,0.01,9216.0,Asia and the Pacific,MMR
1004,Myanmar,1940,76.6,13.0,4.5,10.1,2.4,0.3,0.2,1.24,0.77,0.47,0.01,9436.0,Asia and the Pacific,MMR
1005,Myanmar,1945,77.1,12.9,4.4,9.6,2.4,0.3,0.2,1.21,0.74,0.45,0.01,10464.0,Asia and the Pacific,MMR
1006,Myanmar,1950,76.5,14.3,4.3,8.9,2.5,0.3,0.2,1.17,0.74,0.42,0.01,10515.0,Asia and the Pacific,MMR
1007,Myanmar,1955,74.8,15.7,4.8,9.2,2.5,0.4,0.2,1.25,0.79,0.44,0.01,11083.0,Asia and the Pacific,MMR
1008,Myanmar,1960,74.2,16.2,5.2,9.2,2.5,0.4,0.2,1.27,0.81,0.44,0.01,12013.0,Asia and the Pacific,MMR
1009,Myanmar,1965,70.2,19.1,6.5,10.3,2.9,0.4,0.2,1.44,0.94,0.49,0.01,13263.0,Asia and the Pacific,MMR
1010,Myanmar,1970,70.0,18.1,5.7,11.6,3.3,0.3,0.2,1.52,0.95,0.55,0.01,14805.0,Asia and the Pacific,MMR
1011,Myanmar,1975,67.2,18.8,5.8,13.8,3.5,0.2,0.1,1.69,1.05,0.63,0.01,16599.0,Asia and the Pacific,MMR
1012,Myanmar,1980,54.9,27.3,8.8,16.3,6.1,1.5,0.6,2.34,1.43,0.86,0.04,18628.0,Asia and the Pacific,MMR
1013,Myanmar,1985,45.0,33.7,10.9,19.2,8.5,2.1,1.2,2.87,1.74,1.06,0.06,21004.0,Asia and the Pacific,MMR
1014,Myanmar,1990,31.5,54.9,19.0,9.8,5.2,3.8,2.3,2.99,2.14,0.72,0.12,23724.0,Asia and the Pacific,MMR
1015,Myanmar,1995,25.8,59.3,22.2,10.7,6.4,4.2,2.5,3.4,2.46,0.81,0.13,26727.0,Asia and the Pacific,MMR
1016,Myanmar,2000,21.1,61.5,24.9,11.5,7.3,5.9,3.1,3.89,2.76,0.96,0.18,29963.0,Asia and the Pacific,MMR
1017,Myanmar,2005,17.9,60.8,26.4,13.0,8.6,8.2,4.1,4.45,3.02,1.19,0.25,33131.0,Asia and the Pacific,MMR
1018,Myanmar,2010,13.5,60.9,28.6,14.6,10.1,11.0,5.5,5.11,3.33,1.45,0.33,36230.0,Asia and the Pacific,MMR
1023,Philippines,1870,97.2,2.8,0.3,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,2868.0,Asia and the Pacific,PHL
1024,Philippines,1875,96.6,3.4,0.4,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,3056.0,Asia and the Pacific,PHL
1025,Philippines,1880,95.9,4.1,0.4,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,3242.0,Asia and the Pacific,PHL
1026,Philippines,1885,95.0,5.0,0.5,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,3427.0,Asia and the Pacific,PHL
1027,Philippines,1890,94.0,6.0,0.6,0.0,0.0,0.0,0.0,0.14,0.13,0.0,0.0,3610.0,Asia and the Pacific,PHL
1028,Philippines,1895,92.7,7.3,0.8,0.0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,3831.0,Asia and the Pacific,PHL
1029,Philippines,1900,92.1,7.4,0.9,0.4,0.1,0.2,0.1,0.22,0.19,0.02,0.01,4051.0,Asia and the Pacific,PHL
1030,Philippines,1905,91.2,8.1,1.0,0.5,0.2,0.2,0.1,0.25,0.21,0.03,0.01,4438.0,Asia and the Pacific,PHL
1031,Philippines,1910,91.1,4.4,0.5,4.3,1.6,0.2,0.2,0.47,0.28,0.19,0.01,4862.0,Asia and the Pacific,PHL
1032,Philippines,1915,85.1,9.1,1.3,5.6,2.2,0.3,0.3,0.71,0.45,0.25,0.01,5327.0,Asia and the Pacific,PHL
1033,Philippines,1920,77.5,16.2,2.7,5.9,2.5,0.4,0.4,0.93,0.63,0.28,0.02,5837.0,Asia and the Pacific,PHL
1034,Philippines,1925,71.5,21.0,3.7,6.9,3.1,0.7,0.5,1.16,0.8,0.34,0.02,6396.0,Asia and the Pacific,PHL
1035,Philippines,1930,65.4,26.0,5.2,7.8,3.7,0.9,0.7,1.4,0.97,0.4,0.03,7122.0,Asia and the Pacific,PHL
1036,Philippines,1935,58.7,31.1,6.7,9.1,4.5,1.2,0.9,1.69,1.17,0.48,0.04,7979.0,Asia and the Pacific,PHL
1037,Philippines,1940,56.3,32.8,7.4,9.5,4.8,1.4,1.0,1.8,1.24,0.52,0.05,8564.0,Asia and the Pacific,PHL
1038,Philippines,1945,52.4,35.6,8.4,10.2,5.3,1.7,1.2,1.99,1.36,0.57,0.06,9693.0,Asia and the Pacific,PHL
1039,Philippines,1950,43.7,43.0,11.3,10.6,5.7,2.6,1.7,2.35,1.62,0.65,0.09,10562.0,Asia and the Pacific,PHL
1040,Philippines,1955,23.7,57.0,15.3,13.6,7.0,5.7,3.3,3.36,2.22,0.96,0.18,12003.0,Asia and the Pacific,PHL
1041,Philippines,1960,25.5,53.6,17.2,14.6,7.5,6.3,3.6,3.49,2.25,1.04,0.2,13828.0,Asia and the Pacific,PHL
1042,Philippines,1965,19.9,55.2,18.9,16.1,8.3,8.8,4.6,4.01,2.48,1.26,0.27,16048.0,Asia and the Pacific,PHL
1043,Philippines,1970,13.4,56.3,20.7,19.2,9.4,11.1,5.9,4.83,3.08,1.4,0.34,18918.0,Asia and the Pacific,PHL
1044,Philippines,1975,9.7,53.7,22.9,23.7,11.0,12.9,6.2,5.56,3.66,1.52,0.38,22155.0,Asia and the Pacific,PHL
1045,Philippines,1980,8.2,48.4,22.3,26.9,11.9,16.6,8.2,6.26,4.07,1.7,0.5,25825.0,Asia and the Pacific,PHL
1046,Philippines,1985,6.9,45.6,22.5,30.6,13.4,16.9,7.5,6.64,4.36,1.79,0.49,29706.0,Asia and the Pacific,PHL
1047,Philippines,1990,5.1,40.9,21.3,34.8,15.6,18.8,6.9,7.15,4.66,1.97,0.51,34122.0,Asia and the Pacific,PHL
1048,Philippines,1995,5.2,36.2,19.6,36.0,16.7,22.7,6.8,7.59,4.88,2.12,0.59,39212.0,Asia and the Pacific,PHL
1049,Philippines,2000,5.2,32.2,18.2,36.4,18.2,26.1,6.4,7.96,5.05,2.25,0.65,44667.0,Asia and the Pacific,PHL
1050,Philippines,2005,3.7,28.2,16.5,42.9,21.0,25.2,6.2,8.27,5.3,2.35,0.63,50645.0,Asia and the Pacific,PHL
1051,Philippines,2010,2.3,24.9,15.4,48.3,23.2,24.5,6.0,8.65,5.51,2.52,0.61,56920.0,Asia and the Pacific,PHL
1056,"Korea, Republic of",1870,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,5658.0,Asia and the Pacific,KOR
1057,"Korea, Republic of",1875,99.9,0.1,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,5664.0,Asia and the Pacific,KOR
1058,"Korea, Republic of",1880,99.9,0.1,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,5669.0,Asia and the Pacific,KOR
